                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.93773,                0.72449,                 1.2107,                0.74959,                0.78963,                0.81859,                0.54127,                 1.2219,                0.82863,                 1.5012,             0.00036513,             0.00036513,             0.00036513
                     66,                0.93874,                0.71433,                 1.2114,                 0.7771,                0.76856,                0.80459,                0.53191,                   1.22,                0.83756,                 1.4893,               0.000361,               0.000361,               0.000361
                     67,                 0.9115,                0.70187,                 1.1941,                0.76897,                0.75121,                0.79641,                0.51839,                 1.2362,                0.87569,                 1.5288,             0.00035687,             0.00035687,             0.00035687
                     68,                 0.9402,                  0.716,                 1.2024,                  0.791,                0.76915,                0.82938,                0.55443,                 1.1975,                0.82277,                 1.4751,             0.00035275,             0.00035275,             0.00035275
                     69,                0.91837,                0.68424,                  1.196,                0.76253,                 0.7848,                0.81217,                0.53581,                 1.2249,                 0.8377,                 1.5284,             0.00034862,             0.00034862,             0.00034862
                     70,                0.92581,                0.70399,                 1.1998,                0.77567,                0.77445,                0.81573,                0.53733,                 1.2265,                0.83613,                 1.5181,              0.0003445,              0.0003445,              0.0003445
                     71,                0.91488,                0.68669,                 1.1832,                0.77898,                0.76748,                0.81573,                0.54063,                 1.2286,                0.80876,                 1.5172,             0.00034038,             0.00034038,             0.00034038
                     72,                0.90596,                0.67219,                 1.1932,                0.77518,                0.78606,                0.81727,                0.53468,                 1.2331,                0.85126,                  1.524,             0.00033625,             0.00033625,             0.00033625
                     73,                0.89143,                0.66025,                 1.1837,                0.79572,                0.76919,                0.81871,                0.53023,                 1.2481,                0.86304,                  1.521,             0.00033213,             0.00033213,             0.00033213
                     74,                0.88728,                0.67722,                 1.1876,                0.79824,                0.77322,                0.83257,                0.55186,                 1.1939,                0.78926,                 1.4873,               0.000328,               0.000328,               0.000328
                     75,                0.88897,                0.65723,                 1.1746,                0.83199,                0.76023,                 0.8276,                0.54829,                 1.2026,                0.83355,                 1.4926,             0.00032387,             0.00032387,             0.00032387
                     76,                0.89941,                 0.6533,                 1.1719,                0.77362,                0.79216,                0.83481,                 0.5573,                 1.1947,                0.80127,                 1.4801,             0.00031975,             0.00031975,             0.00031975
                     77,                0.89966,                0.65407,                 1.1758,                0.78481,                0.78699,                0.83017,                0.55387,                 1.1954,                0.81416,                  1.478,             0.00031562,             0.00031562,             0.00031562
                     78,                0.87611,                 0.6332,                  1.163,                0.79884,                0.78396,                0.82188,                0.54651,                 1.1983,                 0.8409,                 1.4841,              0.0003115,              0.0003115,              0.0003115
                     79,                0.85674,                0.62054,                 1.1596,                0.81029,                0.78715,                0.82778,                0.54711,                 1.2116,                0.77922,                 1.4989,             0.00030738,             0.00030738,             0.00030738
                     80,                0.86613,                0.63559,                 1.1569,                0.79302,                0.79068,                0.83105,                0.54277,                 1.2252,                0.79763,                 1.5191,             0.00030325,             0.00030325,             0.00030325
                     81,                0.86018,                0.62858,                 1.1536,                0.81359,                0.78163,                0.83564,                0.55769,                 1.2061,                0.79018,                 1.5093,             0.00029913,             0.00029913,             0.00029913
                     82,                0.86816,                0.63347,                 1.1573,                0.80193,                0.77344,                0.82362,                0.54566,                 1.1984,                0.80912,                 1.4858,               0.000295,               0.000295,               0.000295
                     83,                0.86093,                0.62671,                 1.1562,                0.81542,                0.78608,                0.83484,                 0.5533,                 1.2002,                0.80678,                 1.4932,             0.00029088,             0.00029088,             0.00029088
                     84,                0.84555,                0.61639,                 1.1528,                  0.817,                0.76591,                0.83074,                0.55166,                 1.2061,                 0.7991,                 1.5057,             0.00028675,             0.00028675,             0.00028675
                     85,                0.84023,                0.61084,                 1.1417,                0.78613,                0.79028,                0.82239,                0.54362,                 1.2052,                0.81978,                 1.5104,             0.00028262,             0.00028262,             0.00028262
                     86,                0.82428,                0.59683,                 1.1352,                0.79775,                0.79106,                0.83005,                0.54231,                 1.2148,                 0.8124,                 1.5164,              0.0002785,              0.0002785,              0.0002785
                     87,                0.83309,                 0.6057,                 1.1362,                 0.8335,                 0.7677,                0.84192,                0.55635,                 1.2021,                0.78776,                 1.5008,             0.00027437,             0.00027437,             0.00027437
                     88,                0.83796,                0.61386,                 1.1389,                0.79435,                0.77427,                0.82624,                0.55315,                 1.1923,                0.79734,                 1.5028,             0.00027025,             0.00027025,             0.00027025
                     89,                0.83116,                0.59861,                 1.1425,                0.80649,                0.78308,                0.83213,                0.55702,                  1.202,                0.78084,                 1.4835,             0.00026613,             0.00026613,             0.00026613
                     90,                0.82348,                0.59297,                 1.1318,                0.82378,                0.75194,                0.82812,                 0.5514,                 1.1904,                0.81227,                  1.482,               0.000262,               0.000262,               0.000262
